manuscript_item,output_file,source_script,input_data,reproducible_by,hash
FoRDy/FoRCy proxy metrics,outputs/published/tables/experimental_validation_metrics_by_dataset.csv,validation/experimental_database_validation/reproduce_experimental_validation.py,data/raw_redistributed,R1,9a04fb84dcf177f59633ead9a230c1236eb46b7d254949ea4f9e2d37371e0fb8
Strict force-beneficial screening metrics,outputs/published/tables/strict_screening_metrics_by_dataset.csv,validation/experimental_database_validation/reproduce_experimental_validation.py,data/raw_redistributed,R1,ae112e5d8569db717d7dd316456087a5f0857eae18d05d33dd0bceed00fdaabf
Experimental Demand-Polarity Map,outputs/published/figures/demand_polarity_map_experimental.png,validation/experimental_database_validation/reproduce_experimental_validation.py,data/raw_redistributed,R1,001af73b323330b2a2a164e26cb522e70b58fba23432893672b4c9e295c5a20b
Claim boundary matrix,outputs/published/tables/experimental_claim_boundary_matrix.csv,validation/experimental_database_validation/reproduce_experimental_validation.py,data/raw_redistributed,R1,e067ee0cad3d3a82e1dff4d2eabfcc7050f2ffd45cdeccc8e45aaa304304d096
Independent predictive baseline comparison,outputs/published/tables/baseline_comparison.csv,validation/independent_predictive_validation/reproduce_predictive_validation.py,data/raw_redistributed,R1,065309e622c26d0df29488299117157a6eb33ecc0bd1d470227110ef56a9829c
Independent predictive confusion matrix,outputs/published/tables/predictive_validation_confusion_matrix.csv,validation/independent_predictive_validation/reproduce_predictive_validation.py,data/raw_redistributed,R1,de96292095efe3e44e43e11ea67b2d8dae560ab35f992c142c8f423c07194834
Independent predictive confusion figure,outputs/published/figures/predictive_confusion_matrix.png,validation/independent_predictive_validation/reproduce_predictive_validation.py,data/raw_redistributed,R1,040c6021d969488aad146972d8286c940fb55be3f9dfa5cd7141ae94ba5d233d
Grouped predictive uncertainty,outputs/published/tables/grouped_bootstrap_uncertainty.csv,validation/independent_predictive_validation/reproduce_group_uncertainty_audit.py,validation/independent_predictive_validation/predictive_validation_results.csv,R1,0ff78a855d85897578ca11a702140651c83cdc834f2261e3b2558f219d397df2
Grouped predictive metrics by study,outputs/published/tables/grouped_metric_by_study.csv,validation/independent_predictive_validation/reproduce_group_uncertainty_audit.py,validation/independent_predictive_validation/predictive_validation_results.csv,R1,1ddbc40485ede3a1b4cf7b5a953046ebe976b0c9e829edb14be3a8b5cb9a01f9
Paired grouped baseline comparison,outputs/published/tables/paired_group_baseline_comparison.csv,validation/independent_predictive_validation/reproduce_group_uncertainty_audit.py,validation/independent_predictive_validation/predictive_validation_results.csv,R1,1a1acd1d2d1ed0f368f1255b50f64f96c6d29325b954cd4310fb8190acb0ecf5
Decision-value proxy summary,outputs/published/tables/proxy_decision_value_summary.csv,validation/decision_value_validation/reproduce_decision_value_validation.py,outputs/published/tables/fordy_forcy_master_validation_table.csv,R1,8da8dddb4b62fddfb7947f74b95b4c3c305ced9424cec62deaeffaccf0274c51
Decision-value loss-ratio figure,outputs/published/figures/loss_ratio_sweep.png,validation/decision_value_validation/reproduce_decision_value_validation.py,outputs/published/tables/fordy_forcy_master_validation_table.csv,R1,7eadcd0ddc282fa9db7e779356585e134e3b1dbbc72b9a104d321fdcd51854e4
Decision-value selective-abstention figure,outputs/published/figures/selective_abstention_curve.png,validation/decision_value_validation/reproduce_decision_value_validation.py,outputs/published/tables/fordy_forcy_master_validation_table.csv,R1,bd388c11d39fb9f1793782e6e20f721c45ef4a01761b2d0fac2c380584cde2eb
