P E R F O R M A N C E     D A T A B A S E     C O L U M N    D E F I N I T I O N S,,,,
,COLUMN,,TYPE,DEFINITION
EVENT,1,Event Id,Info,Dataset event number
,2,Event Id,Info,T [initial liquefiable layer thickness (m)] - [initial liquefiable layer Dr (%)] - [additional parameter] - [Event sequence number in test] - [Structure or Free-Field]
,3,Researcher,Info,[Lead researcher running the test][test number in the test series]
,4,Test,Info,Test nomenclature: T [initial liquefiable layer thickness (m)] - [initial liquefiable layer Dr (%)] - [additional distinctive parameters]
,5,Struct,Info,Name of structure or Free-Field (FF) in the event
,6,Nscale,Meas,Average scaling factor achieved during spin-up
SOIL PROPERTIES,7,Visc  ,Meas,Viscosity of the pore fluid used in the model; measured before testing starts; held constant throughout testing
,8,Water  ,Meas,Average depth to water (+) or elevation (-) measured relative to the soil surface in the event
,9,Mat L1,Info,Material type used for the construction of Layer 1
,10,H L1 ,Meas,Initial prototype thickness of Layer 1
,11,Dr L1,Infe,Initial nominal Relative Density (DR) of Layer 1
,12,Mat L2,Info,Material type used for the construction of Layer 2
,13,H L2 ,Meas,Initial prototype thickness of Layer 2
,14,Dr L2,Infe,Initial Relative Density (DR) of Layer 2
,15,Mat L3,Info,Material type used for the construction of Layer 3
,16,H L3 ,Meas,Initial prototype thickness of Layer 3
,17,Dr_L3,Infe,Initial Relative Density (DR) of Layer 3
,18,Mat_L4,Info,Material type used for the construction of Layer 4
,19,H_L4 ,Meas,Initial prototype thickness of Layer 4
,20,Dr_L4,Infe,Initial Relative Density (DR) of Layer 4
,21,Curvedsurf,Info,Is the surface of the soil curved to match centrifuge g-field radius?
STRUCTURAL PROPERTIES,22,W ,Meas,Width of the structural footing (running N-S in the container)
,23,L ,Meas,Length of the structural footing (running E-W in the container)
,24,T ,Meas,Thickness of the footing
,25,H ,Meas,Height of the structure from the bottom of the footing to the top of the deck
,26,H_Cm ,Meas,Height from the base of the footing to the center of mass of the entire structure
,27,H_Cd  ,Meas,Height from the base of the footing to the center of mass of the deck mass
,28,M_Struct  ,Meas,Mass of the full structure
,29,M_Deck ,Meas,Mass of the deck
,30,M_Col  ,Meas,Mass of the columns
,31,M_Foot ,Meas,Mass of the footing
,32,Embed ,Meas,Initial footing embedment depth; measured from the soil surface to the bottom of the footing
,33,Q ,Deri,Bearing pressure of structure: total structural weight over the footing area
,34,T_Fb ,Meas,Fixed-base period of the structure; measured before testing
,35,Modification,Info,"Ground modification: ground improvement, adjacent buildings, piles, etc."
BASE MOTION,36,Motion,Info,Name and relative size of the input motion
,37,Amp,Meas,Amplification factor imposed on the input motion file
,38,IF ,Meas,Input motion frequency
,39,RPM,Meas,Revolutions per minute of the centrifuge bucket during the event
,40,PBA,Meas,Peak Base Acceleration: base plate peak acceleration on the centrifuge 
