column number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
units,1,text,text,text,text,1,cSt,m,text,m,1,text,m,1,text,m,1,text,m,1,text,m,m,m,m,m,m,kg,kg,kg,kg,m,kPa,s,text,text,1,Hz,RPM,g,cm/s,g-s,g-s,m/s,m/s/s,s,g-s,m/s,g,g,g,g,1,cm/s,g-s,g-s,m/s,m/s/s,g-s,g-s,m/s,mm,mm,rad,rad,text,url,text,text,text,text,text,1,text
Column Name,Event No ,Event Id,Researcher,Test,Struct,Nscale,Visc  ,Water  ,Mat L1,H L1 ,Dr L1,Mat L2,H L2 ,Dr L2,Mat L3,H L3 ,Dr_L3,Mat_L4,H_L4 ,Dr_L4,Curvedsurf,W ,L ,T ,H ,H_Cm ,H_Cd  ,M_Struct  ,M_Deck ,M_Col  ,M_Foot ,Embed ,Q ,T_Fb ,Modification,Motion,Amp,IF ,RPM,PBA,PBV,CAV5  ,CAVstd ,Ia_s ,SIR ,cCAV5 ,cCAVstd  ,cIa ,PGA_s 1  ,PGA_s 2  ,PGA_s 3  ,PGA_s 4  ,Acc No,PGV_s ,CAV5_s,CAVstd_s  ,Ia_s ,SIR_s  ,cCAV5_s ,cCAVstd_s  ,cIa_s  ,Set  ,cSet  ,Rot  ,cRot ,References,Project url,BMA File,SMA File,SMA Sensor,DOI,Container,ESN,Comments
,1,T6-30-01-A,SHD01,T6-30,A,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,6,9,0.7,6,2.1,3.9,334414,183013,N/A,151401,0.7,80,0.21,none,Step Wave,9,4000,76.4,0.15,10.77,0.03,0.02,0.02,0.04,0.03,0.02,0.02,Out of Range or Broken,0.11,0.13,N/A,2,20.67,0.1,0.08,0.09,0.1,0.1,0.08,0.09,2.5,2.5,0.00057,1.00057,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-01-BMA.dat,T6-30-01-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,SHD01 experienced saturation issues with draining before testing
,2,T6-30-01-B,SHD01,T6-30,B,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,12,18,0.7,6,2.1,4.1,1321018,715413,N/A,605605,0.7,80,0.26,none,Step Wave,9,4000,76.4,0.15,10.77,0.03,0.02,0.02,0.04,0.03,0.02,0.02,Out of Range or Broken,0.11,0.13,N/A,2,20.67,0.1,0.08,0.09,0.1,0.1,0.08,0.09,2.2,2.2,-0.00045,0.99955,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-01-BMA.dat,T6-30-01-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,SHD01 experienced saturation issues with draining before testing
,3,T6-30-01-C,SHD01,T6-30,C,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,6,9,0.7,10.2,4.2,9,550701,399300,N/A,151401,0.7,130,0.33,none,Step Wave,9,4000,76.4,0.15,10.77,0.03,0.02,0.02,0.04,0.03,0.02,0.02,Out of Range or Broken,0.11,0.13,N/A,2,20.67,0.1,0.08,0.09,0.1,0.1,0.08,0.09,0.6,0.6,0.00045,1.00045,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-01-BMA.dat,T6-30-01-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,SHD01 experienced saturation issues with draining before testing
,4,T6-30-01-FF,SHD01,T6-30,FF,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.3,Monterey Sand,2,0.86,none,none,none,no,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Moderate Step Wave,9,4000,76.4,0.15,10.77,0.03,0.02,0.02,0.04,0.03,0.02,0.02,Out of Range or Broken,0.11,0.13,N/A,2,20.67,0.1,0.08,0.09,0.1,0.1,0.08,0.09,-0.7,-0.7,N/A - FF,#VALUE!,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-01-BMA.dat,T6-30-01-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,SHD01 experienced saturation issues with draining before testing
,5,T6-30-02-A,SHD01,T6-30,A,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,6,9,0.7,6,2.1,3.9,334414,183013,N/A,151401,0.7,80,0.21,none,Small Port Island,0.35,2750,76.9,0.05,5.73,0.06,0.01,0.02,0,0.09,0.03,0.03,0.09,0.08,0.1,N/A,2,16.31,0.27,0.14,0.15,0.02,0.37,0.21,0.24,2.3,4.8,-0.00042,0.99958,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-02-BMA.dat,T6-30-02-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,SHD01 experienced saturation issues with draining before testing
,6,T6-30-02-B,SHD01,T6-30,B,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,12,18,0.7,6,2.1,4.1,1321018,715413,N/A,605605,0.7,80,0.26,none,Small Port Island,0.35,2750,76.9,0.05,5.73,0.06,0.01,0.02,0,0.09,0.03,0.03,0.09,0.08,0.1,N/A,2,16.31,0.27,0.14,0.15,0.02,0.37,0.21,0.24,3,5.3,-0.00071,0.99929,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-02-BMA.dat,T6-30-02-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,SHD01 experienced saturation issues with draining before testing
,7,T6-30-02-C,SHD01,T6-30,C,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,6,9,0.7,10.2,4.2,9,550701,399300,N/A,151401,0.7,130,0.33,none,Small Port Island,0.35,2750,76.9,0.05,5.73,0.06,0.01,0.02,0,0.09,0.03,0.03,0.09,0.08,0.1,N/A,2,16.31,0.27,0.14,0.15,0.02,0.37,0.21,0.24,3.8,4.4,0.00019,1.00019,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-02-BMA.dat,T6-30-02-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,SHD01 experienced saturation issues with draining before testing
,8,T6-30-02-FF,SHD01,T6-30,FF,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.3,Monterey Sand,2,0.86,none,none,none,no,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Small Port Island,0.35,2750,76.9,0.05,5.73,0.06,0.01,0.02,0,0.09,0.03,0.03,0.09,0.08,0.1,N/A,2,16.31,0.27,0.14,0.15,0.02,0.37,0.21,0.24,4.4,3.8,N/A - FF,#VALUE!,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-02-BMA.dat,T6-30-02-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,SHD01 experienced saturation issues with draining before testing
