ID,Project and Test Series,,,,,,Facility and Equipment,,,,,,,,,,,Event   ,,,,,Scaling Quantities,,,,,Description of Soil Layers,,,,Layer 1 Soil Properties,,,,,,,,,,,Layer 2 Soil Properties,,,,,,,,,,,Layer 3 Soil Properties,,,,,,,,,,,Footing Properties,,,,,,,,,,,,Superstructural Properties,,,,,,Bearing Area Properties,,,,,System Properties,,,,,,,Input Loading Protocol Properties,,,,,,Data,,,,Results - Rotation,,,,Results-Sliding,,Results - Settlement and Moment,,,,,,Miscelanneous,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Row Num,Citation for data source,PI               ,Co-PI's               ,Researchers,Sponsor,Test Series,Test Site,Test Type,Cont. N.          ,Cont. L [m],Cont. W [m],Cont. H [m],Actuator Type,N Actuators,Loading Protocol Description,Connection,Conn. Images,Event ID,Test Date,TN eventpackets,Packet N,RPM,Gravity*,Length*,Mass*,Time*,Model or Prot. Data?,Soil Depth [m],Water Depth [m],N Soil Layers,Modification,Mat_L1,H_L1 [m],Dr_L1 [%],phi_cv_L1 [degrees],STDev_Dr_L1 [%],Su_L1_top [kPa],Su_L1_mid  [kPa],Su_L1_bot  [kPa],STDev_Su_L1_mid [kPa],Density_L1  [kg/m^3],wc_L1 [%],Mat_L2,H_L2 [m],Dr_L2 [%],phi_cv_L2 [deg],STDev_Dr_L2 [%],Su_L2_top [kPa],Su_L2_mid [kPa],Su_L2_bot [kPa],STDev_Su_L2_mid [kPa],Avg. Tot.Density_L2 [kg/m3],Avg. WaterContent_L2 [%],Mat_L3,H_L3 [m],Dr_L3 [%],phi_cv_L3 [deg.],STDev_Dr_L3 [%],Su_L3_top [kPa],Su_L3_mid [kPa],Su_L3_bot [kPa],STDev_Su_L3_mid [kPa],Avg. Tot.Density_L3 [kg/m3],Avg. WaterContent_L3 [%],FootingShape,FootingMaterial,B [m],L [m],B_min [m],tw [m],tf [m],MAR [%],Skew [degrees],t  [m],Embed't [m],M_ftg_cover [kg],StructureType,StructureImages,ColumnMaterial,h_cm [m],M_total [kg],P_st [kN],q [kPa],q_ult_tot [kPa],q_ult_crit0 [kPa],q_ult_crit [kPa],BCap Calcs,FS_a,FS_e,M/VL,A_c/A,M_c_foot_a [N-m],M_c_foot_e  [N-m],Moment Cap. Calcs,Loading DOFsDescription,N PacketsReported,N Cyclesper packet,Amplitude [m or N],T cycles [s],Loading ProtocolPlots,Loading ProtocolFile,Deformation Plots,Foundation Response Time History Data,Assumptions in calculation of applied moment,Pk. Ftg. Rotation [rad],Cum. Prim. Ftg. Rotation [rad],Tot. Cum. Prim. Ftg. Rotation [rad],Cum. Res. Ftg. Rotation [rad],Norm. Pk. Ftg. Sliding in %,Norm. Res. Ftg. Sliding in %,Norm. Cumm. Res. Ftg. Uplift/ Sett. [%],Norm. Incr. Res. Ftg. Uplift/ Sett. [%],Method for determining the residual settlement,Norm. Max. Ftg. Moment,Norm. Cumm. Res. Ftg. Uplift/ Sett. (zero-shear) [%],Norm. Incr. Res. Ftg. Uplift/ Sett. (zero-shear) [%],Reference,Project Website,Comments
"""desc"":""Sequential database record number."",""align"":""right""","""desc"":""The full citation(s) that users must cite, when heavily using this project data. "",""width"":""200"",""truncate"":""truncate"",""align"":""left""","""desc"":""The Principal Investigator of the project."",""width"":100,""align"":""left""","""desc"":""The Co-Principal Investigator(s) of the project."",""width"":100,""truncate"":""truncate"",""align"":""left""","""desc"":""Lead and assistant graduate student researchers of the test series."",""align"":""left""","""desc"":""Sponsor\/funding source of the project."",""align"":""left""","""desc"":""Name of the test series or phase of the experiment."",""align"":""left""","""desc"":""Name of the facility that the experiment was conducted at."",""width"":100,""truncate"":""truncate"",""align"":""left""","""desc"":""Categorization of test; e.g. centrifuge, small-scale 1g, large-scale 1g."",""align"":""left""","""desc"":""Facility name for the container used."",""width"":100,""align"":""left""","""desc"":""Inner dimension of the model container parallel to (primary) loading axis."",""units"":""m"",""align"":""right""","""desc"":""Inner dimension of the model container normal to (primary) loading axis."",""units"":""m"",""align"":""right""","""desc"":""Inner height of the model container."",""units"":""m"",""align"":""right""",[],"""desc"":""The number of actuators used to control the loading of the structure."",""align"":""right""","""desc"":""Displacement-controlled or force-controlled, and monotonic or cyclic loading."",""align"":""left""","""desc"":""Description of the mechanism used to connect the structure to the actuator."",""width"":100,""truncate"":""truncate"",""align"":""left""","""desc"":""Image(s) of the connection between the actuator and the structure."",""align"":""left"",""type"":""file"",""type_extra"":""single"",""file-display"":""thumb"",""ds-repo-path"":""\/db\/databases\/nees_datastore_1085\/files\/forcy_mastersheet\/image_s__of_the_connection_between_actuator_and_structure""",[],[],"""desc"":""Total number of packets that this event is broken into. Each event may be broken into many packets to facilitate analysis of the data. Each row in the database contains data for a single packet. According to the database design concept, each packet should have a number of cycles of approximately uniform amplitude."",""align"":""right""","""desc"":""Packet number for this data row. If this packet represents the 3rd packet of this loading sequence, report 3."",""align"":""right""","""desc"":""Revolutions per minute of the centrifuge.  For 1 g tests, report "",""align"":""right""","""desc"":""Scale factor for gravity.  For 1 g tests, report 1, For centrifuge tests report centrifugal acceleration at the base of the footing as a multiple of earth's gravity. "",""align"":""right""","""desc"":""Length scale factor, defined as model length\/displacement over prototype."",""align"":""right""","""desc"":""Mass scale factor, defined as model mass over prototype mass."",""align"":""right""","""desc"":""Time scale factor, defined as model time over prototype time."",""align"":""right""","""desc"":""Are quantities reported in model or prototype scale? If prototype is chosen, all quantities are consistently converted from model scale to prototype scale based on the provided scaling laws (Mass*, Length*, and Time*). If model scale is chosen, then all quantities must be reported as actual dimensions of the test without scaling. "",""align"":""left""","""desc"":""Total thickness of the soil profile."",""units"":""m"",""align"":""right""","""desc"":""Average depth to water relative to the soil surface (+) ."",""units"":""m"",""align"":""right""","""desc"":""Number of soil layers in the container."",""align"":""right""","""desc"":""Ground modification; e.g.  ground improvement, piles, concrete mix."",""align"":""left""","""desc"":""Name of soil material in layer 1."",""align"":""left"",""width"":""100""","""desc"":""Thickness of soil layer 1."",""units"":""m"",""align"":""right""","""desc"":""Best estimate of average relative density of layer 1 if it consists of sand."",""units"":""%"",""align"":""right""","""desc"":""Best estimate of constant-volume (critical state) friction angle of layer 1 if it consists of sand."",""units"":""degrees"",""align"":""right""","""desc"":""Best estimate of standard deviation of relative density of layer 1 if it consists of sand. If the standard deviation was not measured, approximate estimate is acceptable."",""units"":""%"",""align"":""right""","""desc"":""Best estimate of undrained shear strength of the top of layer 1 if it consists of saturated clay."",""units"":""kPa"",""align"":""right""","""desc"":""Best estimate of undrained shear strength of the middle of layer 1 if it consists of saturated clay."",""units"":""kPa"",""align"":""right""","""desc"":""Best estimate of undrained shear strength of the bottom of layer 1 if it consists of saturated clay."",""units"":""kPa"",""align"":""right""","""desc"":""Best estimate of standard deviation of undrained shear strength of the middle of layer 1 if it consists of saturated clay. If the standard deviation was not measured, approximate estimate is acceptable."",""units"":""kPa"",""align"":""right""","""desc"":""Average total density of soil layer 1."",""units"":""kg\/m^3"",""align"":""right""","""desc"":""Average  water content of soil layer 1."",""units"":""%"",""align"":""right""","""align"":""right""","""align"":""right"",""units"":""m""","""align"":""right"",""units"":""%""","""align"":""right"",""units"":""deg""","""units"":""%"",""align"":""right""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kg\/m3""","""align"":""right"",""units"":""%""","""align"":""right""","""align"":""right"",""units"":""m""","""align"":""right"",""units"":""%""","""align"":""right"",""units"":""deg.""","""align"":""right"",""units"":""%""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kg\/m3""","""align"":""right"",""units"":""%""","""align"":""right""","""align"":""right""","""align"":""right"",""units"":""m""","""align"":""right"",""units"":""m""","""desc"":""Minimum footing width; only applicable for trapezoidal footings."",""units"":""m"",""align"":""right""","""desc"":""Thickness of the footing web; only for C-shaped and I-shaped footings."",""units"":""m"",""align"":""right""","""desc"":""Thickness of the footing flange; only for C-shaped and I-shaped footings."",""units"":""m"",""align"":""right""","""desc"":""Missing plan area of a footing to become a complete rectangle divided by the area of the circumscribed rectangle. This property is only required for trapezoidal, I-shaped and C-shaped footings. Enter zero for rectangular and circular footings."",""units"":""%"",""align"":""right""","""desc"":""Initial angle between the footing length and the (primary) loading direction, defined as (+) for counter-clockwise rotation about an upward vertical axis (see guidelines to contributors). "",""units"":""degrees"",""align"":""right""","""desc"":""Footing thickness."",""units"":""m"",""align"":""right""","""desc"":""Initial footing embedment depth; measured from the soil surface to the bottom of the footing at the beginning of the loading sequence (before packet #1)."",""units"":""m"",""align"":""right""","""desc"":""Footing cover mass, i.e. any mass resting on the top of the footing."",""units"":""kg"",""align"":""right""","""desc"":""Idealized type of superstructure; e.g., SDOF or shear wall."",""align"":""left""","""desc"":""Photo or drawing of the model and superstructure."",""align"":""left"",""type"":""file"",""type_extra"":""single"",""file-display"":""thumb"",""ds-repo-path"":""\/db\/databases\/nees_datastore_1085\/files\/forcy_mastersheet\/image_s__of_the_superstructure""",[],"""align"":""right"",""units"":""m""","""align"":""right"",""units"":""kg""","""align"":""right"",""units"":""kN""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kPa""","""align"":""right"",""units"":""kPa""","""desc"":""Sources of the method used for estimating friction angles and ultimate bearing capacities."",""align"":""left"",""type"":""file"",""type_extra"":""single"",""ds-repo-path"":""\/db\/databases\/nees_datastore_1085\/files\/forcy_mastersheet\/source_for_bearing_capacity_calculations"",""file-display"":""link""","""align"":""right""","""align"":""right""","""align"":""right""","""align"":""right""","""desc"":""Analytically calculated rocking moment capacity of the foundation for static axial load. "",""units"":""N-m"",""align"":""right""","""desc"":""Experimentally determined rocking moment capacity of the foundation for static axial load. "",""units"":""N-m"",""align"":""right""","""desc"":""Description of procedure for calculating moment capacity of the footing."",""align"":""left"",""type"":""file"",""type_extra"":""single"",""ds-repo-path"":""\/db\/databases\/nees_datastore_1085\/files\/forcy_mastersheet\/source_describing_the_calculation_of_moment_capacity"",""file-display"":""link""","""desc"":""Description of loading degrees of freedom used in the packet; e.g. 1D-H, 2D-H, 2D-V, 3D."",""align"":""left""","""desc"":""Total number of packets reported in database for this event. This is equal to the number of rows  used to desribe this event"",""align"":""right""","""desc"":""The number of cycles of loading applied in this packet"",""align"":""right""","""units"":""m or N"",""desc"":""Absolute value of the peak target displacement or force being input into the (primary) actuator.  If load controlled report results in units of Newtons, If displacement controlled, report results in units of meters. "",""align"":""right""","""desc"":""The period of the input cyclic displacement or force; not applicable (7777) for monotonic loading."",""units"":""s"",""align"":""right""","""type"":""file"",""type_extra"":""single"",""file-display"":""thumb"",""ds-repo-path"":""\/db\/databases\/nees_datastore_1085\/files\/forcy_mastersheet\/loading_protocol_plot""","""type"":""file"",""type_extra"":""single"",""ds-repo-path"":""\/db\/databases\/nees_datastore_1085\/files\/forcy_mastersheet\/loading_protocol_file""","""type"":""file"",""type_extra"":""single"",""file-display"":""thumb"",""ds-repo-path"":""\/db\/databases\/nees_datastore_1085\/files\/forcy_mastersheet\/deformation_plots""","""type"":""file"",""type_extra"":""single"",""ds-repo-path"":""\/db\/databases\/nees_datastore_1085\/files\/forcy_mastersheet\/foundation_response_time_history_data""",[],"""align"":""right"",""units"":""rad""","""align"":""right"",""units"":""rad""","""align"":""right"",""units"":""rad""","""align"":""right"",""units"":""rad""","""align"":""right""","""align"":""right""","""align"":""right"",""units"":""%""","""align"":""right"",""units"":""%""",[],"""align"":""right""","""align"":""right"",""units"":""%""","""align"":""right"",""units"":""%""","""type"":""file"",""type_extra"":""single"",""ds-repo-path"":""\/db\/databases\/nees_datastore_1085\/files\/forcy_mastersheet\/reference""","""width"":300,""truncate"":""truncate"",""type"":""link"",""link_label"":""forcy_mastersheet.project_website"",""ext"":""true""","""width"":200,""truncate"":""truncate"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Hakhamaneshi, M., Kutter, B.L., (2016) ""Effect of footing shape and embedment  on the settlement, re-centering and energy dissiption of shallow footings subjected to rocking"", J. for Geotech. & Geoenv. Eng.",Bruce L. Kutter,"Sashi Kunnath, Tara  C. Hutchinson, Mark Aschheim",M.Hakhamaneshi,NSF-NEESR,MAHS-1,"UC Davis, Center for Geotechnical Modeling, 1m radius centrifuge",Centrifuge,Rigid Container,0.381,0.381,25.4,servo-hydraulic,1,Slow Cyclic disp controlled Lateral Loading,pin and slider to apply pure lateral load ,Connect1.JPG,1.4_e_R_0.6,1-Aug-12,6,1,183.8,35,0.0286,0.0000233,0.0286,Model,0.15,7777,1,None,Nevada Sand,0.15,80,9999,3,7777,7777,7777,7777,1678,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,Rectangle,Aluminum,0.09,0.15,7777,7777,7777,0,0,0.032,0.032,3.07,Shear Wall,Test1.JPG,Steel,0.187,8.277,2.841,210.4,2460,1846,1590.1,MAHS1.pdf,11.68,7777,1.4,0.132,189,7777,MAHS1.pdf,1D lateral loading,6,3,0.000225,5,MAHS-Test1-0.1.JPG,MAHS-Test1-0.1.txt,MAHS-Slide1.JPG,MAHS-FRT1_1.xls,M=V*Height+P*Delta,0.002031,0.012186,0.012186,0.000336,0.0299,0.006635,0.005242,0.00524,At the point of zero shear,0.156,0.005242,0.005242,MAHS1.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2009-0732.groups,No comment
2,"Hakhamaneshi, M., Kutter, B.L., (2016) ""Effect of footing shape and embedment  on the settlement, re-centering and energy dissiption of shallow footings subjected to rocking"", J. for Geotech. & Geoenv. Eng.",Bruce L. Kutter,"Sashi Kunnath, Tara  C. Hutchinson, Mark Aschheim",M.Hakhamaneshi,NSF-NEESR,MAHS-1,"UC Davis, Center for Geotechnical Modeling, 1m radius centrifuge",Centrifuge,Rigid Container,0.381,0.381,25.4,servo-hydraulic,1,Slow Cyclic disp controlled Lateral Loading,pin and slider to apply pure lateral load ,Connect1.JPG,1.4_e_R_0.6,1-Aug-12,6,2,183.8,35,0.0286,0.0000233,0.0286,Model,0.15,7777,1,None,Nevada Sand,0.15,80,9999,3,7777,7777,7777,7777,1678,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,Rectangle,Aluminum,0.09,0.15,7777,7777,7777,0,0,0.032,0.032,3.07,Shear Wall,Test1.JPG,Steel,0.187,8.277,2.841,210.4,2460,1846,1590.1,MAHS1.pdf,11.68,7777,1.4,0.132,189,7777,MAHS1.pdf,1D lateral loading,6,3,0.000563,5,MAHS-Test1-0.25.JPG,MAHS-Test1-0.25.txt,MAHS-Slide1.JPG,MAHS-FRT1_2.xls,M=V*Height+P*Delta,0.002272,0.013632,0.025818,0.0004485,0.0361,0.023,-0.004799,-0.01004,At the point of zero shear,0.175,-0.005,-0.01,MAHS1.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2009-0732.groups,No comment
3,"Hakhamaneshi, M., Kutter, B.L., (2016) ""Effect of footing shape and embedment  on the settlement, re-centering and energy dissiption of shallow footings subjected to rocking"", J. for Geotech. & Geoenv. Eng.",Bruce L. Kutter,"Sashi Kunnath, Tara  C. Hutchinson, Mark Aschheim",M.Hakhamaneshi,NSF-NEESR,MAHS-1,"UC Davis, Center for Geotechnical Modeling, 1m radius centrifuge",Centrifuge,Rigid Container,0.381,0.381,25.4,servo-hydraulic,1,Slow Cyclic disp controlled Lateral Loading,pin and slider to apply pure lateral load ,Connect1.JPG,1.4_e_R_0.6,1-Aug-12,6,3,183.8,35,0.0286,0.0000233,0.0286,Model,0.15,7777,1,None,Nevada Sand,0.15,80,9999,3,7777,7777,7777,7777,1678,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,Rectangle,Aluminum,0.09,0.15,7777,7777,7777,0,0,0.032,0.032,3.07,Shear Wall,Test1.JPG,Steel,0.187,8.277,2.841,210.4,2460,1846,1590.1,MAHS1.pdf,11.68,7777,1.4,0.132,189,7777,MAHS1.pdf,1D lateral loading,6,3,0.001125,5,MAHS-Test1-0.5.JPG,MAHS-Test1-0.50.txt,MAHS-Slide1.JPG,MAHS-FRT1_3.xls,M=V*Height+P*Delta,0.00336,0.02016,0.033792,0.000677,0.094,0.011,0.041,0.0458,At the point of zero shear,0.475,0.041,0.046,MAHS1.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2009-0732.groups,No comment
4,"Hakhamaneshi, M., Kutter, B.L., (2016) ""Effect of footing shape and embedment  on the settlement, re-centering and energy dissiption of shallow footings subjected to rocking"", J. for Geotech. & Geoenv. Eng.",Bruce L. Kutter,"Sashi Kunnath, Tara  C. Hutchinson, Mark Aschheim",M.Hakhamaneshi,NSF-NEESR,MAHS-1,"UC Davis, Center for Geotechnical Modeling, 1m radius centrifuge",Centrifuge,Rigid Container,0.381,0.381,25.4,servo-hydraulic,1,Slow Cyclic disp controlled Lateral Loading,pin and slider to apply pure lateral load ,Connect1.JPG,1.4_e_R_0.6,1-Aug-12,6,4,183.8,35,0.0286,0.0000233,0.0286,Model,0.15,7777,1,None,Nevada Sand,0.15,80,9999,3,7777,7777,7777,7777,1678,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,Rectangle,Aluminum,0.09,0.15,7777,7777,7777,0,0,0.032,0.032,3.07,Shear Wall,Test1.JPG,Steel,0.187,8.277,2.841,210.4,2460,1846,1590.1,MAHS1.pdf,11.68,7777,1.4,0.132,189,7777,MAHS1.pdf,1D lateral loading,6,3,0.00225,5,MAHS-Test1-1.JPG,MAHS-Test1-1.0.txt,MAHS-Slide1.JPG,MAHS-FRT1_4.xls,M=V*Height+P*Delta,0.012,0.072,0.09216,0.002453,0.2661,0.006281,0.197,0.197,At the point of zero shear,1.005,0.197,0.197,MAHS1.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2009-0732.groups,No comment
5,"Hakhamaneshi, M., Kutter, B.L., (2016) ""Effect of footing shape and embedment  on the settlement, re-centering and energy dissiption of shallow footings subjected to rocking"", J. for Geotech. & Geoenv. Eng.",Bruce L. Kutter,"Sashi Kunnath, Tara  C. Hutchinson, Mark Aschheim",M.Hakhamaneshi,NSF-NEESR,MAHS-1,"UC Davis, Center for Geotechnical Modeling, 1m radius centrifuge",Centrifuge,Rigid Container,0.381,0.381,25.4,servo-hydraulic,1,Slow Cyclic disp controlled Lateral Loading,pin and slider to apply pure lateral load ,Connect1.JPG,1.4_e_R_0.6,1-Aug-12,6,5,183.8,35,0.0286,0.0000233,0.0286,Model,0.15,7777,1,None,Nevada Sand,0.15,80,9999,3,7777,7777,7777,7777,1678,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,Rectangle,Aluminum,0.09,0.15,7777,7777,7777,0,0,0.032,0.032,3.07,Shear Wall,Test1.JPG,Steel,0.187,8.277,2.841,210.4,2460,1846,1590.1,MAHS1.pdf,11.68,7777,1.4,0.132,189,7777,MAHS1.pdf,1D lateral loading,6,3,0.0045,5,MAHS-Test1-2.JPG,MAHS-Test1-2.0.txt,MAHS-Slide1.JPG,MAHS-FRT1_5.xls,M=V*Height+P*Delta,0.03,0.18,0.252,0.006343,0.5623,0.323,0.2172,0.0202,At the point of zero shear,1.168,0.217,0.02,MAHS1.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2009-0732.groups,No comment
6,"Hakhamaneshi, M., Kutter, B.L., (2016) ""Effect of footing shape and embedment  on the settlement, re-centering and energy dissiption of shallow footings subjected to rocking"", J. for Geotech. & Geoenv. Eng.",Bruce L. Kutter,"Sashi Kunnath, Tara  C. Hutchinson, Mark Aschheim",M.Hakhamaneshi,NSF-NEESR,MAHS-1,"UC Davis, Center for Geotechnical Modeling, 1m radius centrifuge",Centrifuge,Rigid Container,0.381,0.381,25.4,servo-hydraulic,1,Slow Cyclic disp controlled Lateral Loading,pin and slider to apply pure lateral load ,Connect1.JPG,1.4_e_R_0.6,1-Aug-12,6,6,183.8,35,0.0286,0.0000233,0.0286,Model,0.15,7777,1,None,Nevada Sand,0.15,80,9999,3,7777,7777,7777,7777,1678,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,Rectangle,Aluminum,0.09,0.15,7777,7777,7777,0,0,0.032,0.032,3.07,Shear Wall,Test1.JPG,Steel,0.187,8.277,2.841,210.4,2460,1846,1590.1,MAHS1.pdf,11.68,7777,1.4,0.132,189,7777,MAHS1.pdf,1D lateral loading,6,3,0.009,5,MAHS-Test1-4.JPG,MAHS-Test1-4.0.txt,MAHS-Slide1.JPG,MAHS-FRT1_6.xls,M=V*Height+P*Delta,0.051,0.306,0.486,0.012,1.068,0.409,-0.1549,-0.3721,At the point of zero shear,1.18,-0.155,-0.372,MAHS1.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2009-0732.groups,No comment
7,"Hakhamaneshi, M., Kutter, B.L., (2016) ""Effect of footing shape and embedment  on the settlement, re-centering and energy dissiption of shallow footings subjected to rocking"", J. for Geotech. & Geoenv. Eng.",Bruce L. Kutter,"Sashi Kunnath, Tara  C. Hutchinson, Mark Aschheim",M.Hakhamaneshi,NSF-NEESR,MAHS-1,"UC Davis, Center for Geotechnical Modeling, 1m radius centrifuge",Centrifuge,Rigid Container,0.381,0.381,25.4,servo-hydraulic,1,Slow Cyclic disp controlled Lateral Loading,pin and slider to apply pure lateral load ,Connect2.JPG,1.45_e_R_1.55,20-Jun-12,6,1,183.9,35,0.0286,0.0000233,0.0286,Model,0.15,7777,1,None,Nevada Sand,0.15,82,9999,3,7777,7777,7777,7777,1684,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,7777,Rectangle,Aluminum,0.17,0.11,7777,7777,7777,0,0,0.032,0.032,3.08,Shear Wall,Test2.JPG,Steel,0.155,11.452,3.91,209.1,2609,1818.2,1591.4,MAHS1.pdf,12.47,7777,1.45,0.131,191,7777,MAHS1.pdf,1D lateral loading,6,3,0.00023,5,MAHS-Test2-0.1.JPG,MAHS-Test2-0.1.txt,MAHS-Slide2.JPG,MAHS-FRT2_1.xls,M=V*Height+P*Delta,0.001641,0.009846,0.009846,0.00022941,0.0001868,0.0000627,0.0633,0.0633,At the point of zero shear,0.509,0.063,0.063,MAHS1.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2009-0732.groups,No comment
