eta,spectral_slope_n,damping_gain,period_factor,force_ratio_Rv,total_displacement_ratio_Rd,force_class,displacement_class
0.0,-3.0,0.0,1.0,1.0,1.0,detrimental_or_neutral,detrimental_or_neutral
0.1,-3.0,0.0,1.0488088481701516,0.8667841720414473,0.9534625892455921,beneficial,beneficial
0.2,-3.0,0.0,1.0954451150103321,0.7607257743127309,0.912870929175277,beneficial,beneficial
0.3,-3.0,0.0,1.140175425099138,0.6746600148515608,0.8770580193070291,beneficial,beneficial
0.4,-3.0,0.0,1.1832159566199232,0.6036816105203691,0.8451542547285167,beneficial,beneficial
0.5,-3.0,0.0,1.224744871391589,0.5443310539518175,0.8164965809277263,beneficial,beneficial
0.6,-3.0,0.0,1.2649110640673518,0.49410588440130926,0.7905694150420949,beneficial,beneficial
0.7,-3.0,0.0,1.3038404810405297,0.4511558757925708,0.7669649888473704,beneficial,beneficial
0.8,-3.0,0.0,1.3416407864998738,0.414086662499961,0.7453559924999298,beneficial,beneficial
0.9,-3.0,0.0,1.378404875209022,0.3818296053210588,0.7254762501100117,beneficial,beneficial
1.0,-3.0,0.0,1.4142135623730951,0.3535533905932737,0.7071067811865474,beneficial,beneficial
1.1,-3.0,0.0,1.449137674618944,0.3286026473058829,0.6900655593423541,beneficial,beneficial
1.2,-3.0,0.0,1.4832396974191326,0.3064544829378373,0.674199862463242,beneficial,beneficial
1.3,-3.0,0.0,1.51657508881031,0.2866871623459944,0.6593804733957871,beneficial,beneficial
1.4,-3.0,0.0,1.5491933384829668,0.26895717681995945,0.6454972243679027,beneficial,beneficial
1.5,-3.0,0.0,1.5811388300841898,0.2529822128134703,0.6324555320336757,beneficial,beneficial
1.6,-3.0,0.0,1.61245154965971,0.23852833574847776,0.6201736729460422,beneficial,beneficial
1.7,-3.0,0.0,1.6431676725154984,0.22540022942599425,0.6085806194501845,beneficial,beneficial
1.8,-3.0,0.0,1.6733200530681511,0.21343368023828457,0.5976143046671968,beneficial,beneficial
1.9,-3.0,0.0,1.70293863659264,0.20248973086713917,0.5872202195147036,beneficial,beneficial
2.0,-3.0,0.0,1.7320508075688772,0.1924500897298753,0.5773502691896258,beneficial,beneficial
0.0,-2.8,0.0,1.0,1.0,1.0,detrimental_or_neutral,detrimental_or_neutral
0.1,-2.8,0.0,1.0488088481701516,0.8750850024146978,0.9625935026561676,beneficial,beneficial
0.2,-2.8,0.0,1.0954451150103321,0.774722653979047,0.9296671847748564,beneficial,beneficial
0.3,-2.8,0.0,1.140175425099138,0.6925949279420824,0.9003734063247072,beneficial,beneficial
0.4,-2.8,0.0,1.1832159566199232,0.6243394105839077,0.8740751748174708,beneficial,beneficial
0.5,-2.8,0.0,1.224744871391589,0.5668553336114628,0.8502830004171942,beneficial,beneficial
0.6,-2.8,0.0,1.2649110640673518,0.5178834402093729,0.8286135043349967,beneficial,beneficial
0.7,-2.8,0.0,1.3038404810405297,0.47574201760940515,0.8087614299359888,beneficial,beneficial
0.8,-2.8,0.0,1.3416407864998738,0.4391556684776503,0.7904802032597705,beneficial,beneficial
0.9,-2.8,0.0,1.378404875209022,0.4071411121866243,0.7735681131545862,beneficial,beneficial
1.0,-2.8,0.0,1.4142135623730951,0.3789291416275995,0.757858283255199,beneficial,beneficial
1.1,-2.8,0.0,1.449137674618944,0.35391012487332485,0.7432112622339823,beneficial,beneficial
1.2,-2.8,0.0,1.4832396974191326,0.33159520881618737,0.7295094593956123,beneficial,beneficial
1.3,-2.8,0.0,1.51657508881031,0.31158821952298016,0.7166529049028543,beneficial,beneficial
1.4,-2.8,0.0,1.5491933384829668,0.29356499027173605,0.7045559766521665,beneficial,beneficial
1.5,-2.8,0.0,1.5811388300841898,0.27725793726205855,0.6931448431551464,beneficial,beneficial
1.6,-2.8,0.0,1.61245154965971,0.26244440154072246,0.6823554440058784,beneficial,beneficial
1.7,-2.8,0.0,1.6431676725154984,0.24893773296226332,0.672131878998111,beneficial,beneficial
1.8,-2.8,0.0,1.6733200530681511,0.23658039693684157,0.6624251114231564,beneficial,beneficial
1.9,-2.8,0.0,1.70293863659264,0.2252385915350592,0.6531919154516717,beneficial,beneficial
2.0,-2.8,0.0,1.7320508075688772,0.21479800499241813,0.6443940149772545,beneficial,beneficial
0.0,-2.6,0.0,1.0,1.0,1.0,detrimental_or_neutral,detrimental_or_neutral
0.1,-2.6,0.0,1.0488088481701516,0.8834653263771345,0.971811859014848,beneficial,beneficial
0.2,-2.6,0.0,1.0954451150103321,0.7889770674992284,0.946772480999074,beneficial,beneficial
0.3,-2.6,0.0,1.140175425099138,0.7110066161496759,0.9243086009945787,beneficial,beneficial
0.4,-2.6,0.0,1.1832159566199232,0.6457041142470066,0.9039857599458091,beneficial,beneficial
0.5,-2.6,0.0,1.224744871391589,0.5903116621970376,0.8854674932955564,beneficial,beneficial
0.6,-2.6,0.0,1.2649110640673518,0.5428052288186521,0.8684883661098435,beneficial,beneficial
0.7,-2.6,0.0,1.3038404810405297,0.5016680031518156,0.8528356053580864,beneficial,beneficial
0.8,-2.6,0.0,1.3416407864998738,0.4657423641508136,0.8383362554714645,beneficial,beneficial
0.9,-2.6,0.0,1.378404875209022,0.4341305203224876,0.8248479886127265,beneficial,beneficial
1.0,-2.6,0.0,1.4142135623730951,0.4061261981781177,0.8122523963562354,beneficial,beneficial
1.1,-2.6,0.0,1.449137674618944,0.3811666689686161,0.8004500048340939,beneficial,beneficial
1.2,-2.6,0.0,1.4832396974191326,0.35879841422373565,0.7893565112922185,beneficial,beneficial
1.3,-2.6,0.0,1.51657508881031,0.3386521313023745,0.7788999019954612,beneficial,beneficial
1.4,-2.6,0.0,1.5491933384829668,0.3204242568731817,0.7690182164956361,beneficial,beneficial
1.5,-2.6,0.0,1.5811388300841898,0.3038631171729495,0.7596577929323738,beneficial,beneficial
1.6,-2.6,0.0,1.61245154965971,0.28875841389635615,0.750771876130526,beneficial,beneficial
1.7,-2.6,0.0,1.6431676725154984,0.2749331491374446,0.7423195026711005,beneficial,beneficial
1.8,-2.6,0.0,1.6733200530681511,0.26223735706710577,0.7342645997878962,beneficial,beneficial
1.9,-2.6,0.0,1.70293863659264,0.250543190014829,0.726575251043004,beneficial,beneficial
2.0,-2.6,0.0,1.7320508075688772,0.23974103110828815,0.7192230933248644,beneficial,beneficial
0.0,-2.4,0.0,1.0,1.0,1.0,detrimental_or_neutral,detrimental_or_neutral
0.1,-2.4,0.0,1.0488088481701516,0.8919259052056947,0.9811184957262643,beneficial,beneficial
0.2,-2.4,0.0,1.0954451150103321,0.8034937533355229,0.9641925040026273,beneficial,beneficial
0.3,-2.4,0.0,1.140175425099138,0.7299077538882686,0.9488800800547491,beneficial,beneficial
0.4,-2.4,0.0,1.1832159566199232,0.6677999115346216,0.9349198761484702,beneficial,beneficial
0.5,-2.4,0.0,1.224744871391589,0.6147386076544853,0.9221079114817279,beneficial,beneficial
0.6,-2.4,0.0,1.2649110640673518,0.56892631344565,0.9102821015130401,beneficial,beneficial
0.7,-2.4,0.0,1.3038404810405297,0.5290068483985735,0.8993116422775749,beneficial,beneficial
0.8,-2.4,0.0,1.3416407864998738,0.49393863118455555,0.8890895361322,beneficial,beneficial
0.9,-2.4,0.0,1.378404875209022,0.4629090579019782,0.8795272100137586,beneficial,beneficial
1.0,-2.4,0.0,1.4142135623730951,0.435275281648062,0.870550563296124,beneficial,beneficial
1.1,-2.4,0.0,1.449137674618944,0.4105223878085816,0.8620970143980213,beneficial,beneficial
1.2,-2.4,0.0,1.4832396974191326,0.3882332995976115,0.8541132591147453,beneficial,beneficial
1.3,-2.4,0.0,1.51657508881031,0.36806675878573286,0.8465535452071855,beneficial,beneficial
1.4,-2.4,0.0,1.5491933384829668,0.3497409697855781,0.8393783274853874,beneficial,beneficial
1.5,-2.4,0.0,1.5811388300841898,0.33302128296074923,0.8325532074018731,beneficial,beneficial
1.6,-2.4,0.0,1.61245154965971,0.31771080315082045,0.8260480881921332,beneficial,beneficial
1.7,-2.4,0.0,1.6431676725154984,0.3036431464011559,0.8198364952831211,beneficial,beneficial
1.8,-2.4,0.0,1.6733200530681511,0.29067679457778334,0.8138950248177933,beneficial,beneficial
1.9,-2.4,0.0,1.70293863659264,0.278690652587552,0.8082028925039008,beneficial,beneficial
2.0,-2.4,0.0,1.7320508075688772,0.2675805205867436,0.8027415617602307,beneficial,beneficial
0.0,-2.2,0.0,1.0,1.0,1.0,detrimental_or_neutral,detrimental_or_neutral
0.1,-2.2,0.0,1.0488088481701516,0.900467507467747,0.9905142582145218,beneficial,beneficial
0.2,-2.2,0.0,1.0954451150103321,0.8182775371349273,0.9819330445619128,beneficial,beneficial
0.3,-2.2,0.0,1.140175425099138,0.7493113525037344,0.9741047582548548,beneficial,beneficial
0.4,-2.2,0.0,1.1832159566199232,0.6906518202469635,0.9669125483457488,beneficial,beneficial
0.5,-2.2,0.0,1.224744871391589,0.6401763338614788,0.9602645007922181,beneficial,beneficial
0.6,-2.2,0.0,1.2649110640673518,0.59630440708042,0.954087051328672,beneficial,beneficial
0.7,-2.2,0.0,1.3038404810405297,0.5578355483993328,0.9483204322788658,beneficial,beneficial
0.8,-2.2,0.0,1.3416407864998738,0.5238419138042377,0.9429154448476279,beneficial,beneficial
0.9,-2.2,0.0,1.378404875209022,0.4935953264205396,0.9378311201990253,beneficial,beneficial
1.0,-2.2,0.0,1.4142135623730951,0.4665164957684036,0.9330329915368072,beneficial,beneficial
1.1,-2.2,0.0,1.449137674618944,0.44213895026045796,0.9284917955469618,beneficial,beneficial
1.2,-2.2,0.0,1.4832396974191326,0.4200829461371622,0.9241824815017569,beneficial,beneficial
1.3,-2.2,0.0,1.51657508881031,0.40003628030344235,0.9200834446979174,beneficial,beneficial
1.4,-2.2,0.0,1.5491933384829668,0.38173996919018605,0.9161759260564465,beneficial,beneficial
1.5,-2.2,0.0,1.5811388300841898,0.36497741462219224,0.9124435365554806,beneficial,beneficial
1.6,-2.2,0.0,1.61245154965971,0.34956610640952523,0.9088718766647657,beneficial,beneficial
1.7,-2.2,0.0,1.6431676725154984,0.33535119590217755,0.9054482289358794,beneficial,beneficial
1.8,-2.2,0.0,1.6733200530681511,0.3222004669776828,0.9021613075375118,beneficial,beneficial
1.9,-2.2,0.0,1.70293863659264,0.3100003629517074,0.8990010525599514,beneficial,beneficial
2.0,-2.2,0.0,1.7320508075688772,0.2986528199469207,0.8959584598407622,beneficial,beneficial
0.0,-2.0,0.0,1.0,1.0,1.0,detrimental_or_neutral,detrimental_or_neutral
0.1,-2.0,0.0,1.0488088481701516,0.909090909090909,0.9999999999999999,beneficial,beneficial
0.2,-2.0,0.0,1.0954451150103321,0.8333333333333335,1.0000000000000002,beneficial,detrimental_or_neutral
0.3,-2.0,0.0,1.140175425099138,0.7692307692307692,1.0,beneficial,detrimental_or_neutral
0.4,-2.0,0.0,1.1832159566199232,0.7142857142857143,1.0,beneficial,detrimental_or_neutral
0.5,-2.0,0.0,1.224744871391589,0.6666666666666667,1.0,beneficial,detrimental_or_neutral
0.6,-2.0,0.0,1.2649110640673518,0.625,1.0,beneficial,detrimental_or_neutral
0.7,-2.0,0.0,1.3038404810405297,0.5882352941176471,1.0,beneficial,detrimental_or_neutral
0.8,-2.0,0.0,1.3416407864998738,0.5555555555555556,1.0,beneficial,detrimental_or_neutral
0.9,-2.0,0.0,1.378404875209022,0.5263157894736843,1.0,beneficial,detrimental_or_neutral
1.0,-2.0,0.0,1.4142135623730951,0.49999999999999994,0.9999999999999999,beneficial,beneficial
1.1,-2.0,0.0,1.449137674618944,0.47619047619047616,1.0,beneficial,detrimental_or_neutral
1.2,-2.0,0.0,1.4832396974191326,0.45454545454545453,1.0,beneficial,detrimental_or_neutral
1.3,-2.0,0.0,1.51657508881031,0.4347826086956522,1.0,beneficial,detrimental_or_neutral
1.4,-2.0,0.0,1.5491933384829668,0.41666666666666663,0.9999999999999999,beneficial,beneficial
1.5,-2.0,0.0,1.5811388300841898,0.39999999999999997,0.9999999999999999,beneficial,beneficial
1.6,-2.0,0.0,1.61245154965971,0.3846153846153846,1.0,beneficial,detrimental_or_neutral
1.7,-2.0,0.0,1.6431676725154984,0.37037037037037035,1.0,beneficial,detrimental_or_neutral
1.8,-2.0,0.0,1.6733200530681511,0.35714285714285715,1.0,beneficial,detrimental_or_neutral
1.9,-2.0,0.0,1.70293863659264,0.3448275862068966,1.0,beneficial,detrimental_or_neutral
2.0,-2.0,0.0,1.7320508075688772,0.33333333333333337,1.0,beneficial,detrimental_or_neutral
0.0,-1.8,0.0,1.0,1.0,1.0,detrimental_or_neutral,detrimental_or_neutral
0.1,-1.8,0.0,1.0488088481701516,0.9177968934335335,1.009576582776887,beneficial,detrimental_or_neutral
0.2,-1.8,0.0,1.0954451150103321,0.848666146789187,1.0183993761470242,beneficial,detrimental_or_neutral
0.3,-1.8,0.0,1.140175425099138,0.7896797163878707,1.026583631304232,beneficial,detrimental_or_neutral
0.4,-1.8,0.0,1.1832159566199232,0.7387283529495574,1.0342196941293804,beneficial,detrimental_or_neutral
0.5,-1.8,0.0,1.224744871391589,0.6942531626616072,1.0413797439924108,beneficial,detrimental_or_neutral
0.6,-1.8,0.0,1.2649110640673518,0.6550764934180986,1.0481223894689577,beneficial,detrimental_or_neutral
0.7,-1.8,0.0,1.3038404810405297,0.6202917010910389,1.0544958918547662,beneficial,detrimental_or_neutral
0.8,-1.8,0.0,1.3416407864998738,0.5891891564522326,1.0605404816140187,beneficial,detrimental_or_neutral
0.9,-1.8,0.0,1.378404875209022,0.5612052939360663,1.066290058478526,beneficial,detrimental_or_neutral
1.0,-1.8,0.0,1.4142135623730951,0.5358867312681465,1.071773462536293,beneficial,detrimental_or_neutral
1.1,-1.8,0.0,1.449137674618944,0.51286449538303,1.077015440304363,beneficial,detrimental_or_neutral
1.2,-1.8,0.0,1.4832396974191326,0.4918351771901558,1.0820373898183429,beneficial,detrimental_or_neutral
1.3,-1.8,0.0,1.51657508881031,0.47254693169531,1.086857942899213,beneficial,detrimental_or_neutral
