dataset,observed_class,predicted_class,count
FoRDy,both_beneficial,both_beneficial,19
FoRDy,both_beneficial,both_detrimental,0
FoRDy,both_beneficial,mixed,23
FoRDy,both_detrimental,both_beneficial,0
FoRDy,both_detrimental,both_detrimental,48
FoRDy,both_detrimental,mixed,0
FoRDy,mixed,both_beneficial,10
FoRDy,mixed,both_detrimental,0
FoRDy,mixed,mixed,35
FoRCy,both_beneficial,both_beneficial,10
FoRCy,both_beneficial,both_detrimental,0
FoRCy,both_beneficial,mixed,36
FoRCy,both_detrimental,both_beneficial,0
FoRCy,both_detrimental,both_detrimental,267
FoRCy,both_detrimental,mixed,0
FoRCy,mixed,both_beneficial,3
FoRCy,mixed,both_detrimental,0
FoRCy,mixed,mixed,140
FoRDy+FoRCy,both_beneficial,both_beneficial,29
FoRDy+FoRCy,both_beneficial,both_detrimental,0
FoRDy+FoRCy,both_beneficial,mixed,59
FoRDy+FoRCy,both_detrimental,both_beneficial,0
FoRDy+FoRCy,both_detrimental,both_detrimental,315
FoRDy+FoRCy,both_detrimental,mixed,0
FoRDy+FoRCy,mixed,both_beneficial,13
FoRDy+FoRCy,mixed,both_detrimental,0
FoRDy+FoRCy,mixed,mixed,175
