dataset,source_file,test_id,event_no,lambda_proxy,eta_proxy,n_s_proxy,R_V_proxy,R_delta_total_predicted,measured_displacement_severity,observed_class,predicted_class,correct,robust_marginal,status,notes,sensitivity_label
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,LJD01-1-MD-8,23,1.0173913043478262,0.03508506616257123,-41.49175390784712,0.489,0.5061565973534973,1.309,mixed,both_beneficial,false,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,LJD01-1-MD-9,24,1.0173913043478262,0.03508506616257123,-31.593393506118076,0.58,0.6003493383742913,4.277,mixed,both_beneficial,false,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,LJD01-1-SD-8,32,1.0173913043478262,0.03508506616257123,-27.819011199291353,0.619,0.6407176559546316,1.157,mixed,both_beneficial,false,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,LJD01-1-SD-9,33,1.0173913043478262,0.03508506616257123,-6.563621888200329,0.893,0.9243309640831762,4.831,mixed,both_beneficial,false,marginal,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,LJD01-3-MD-6,37,1.0173913043478262,0.03508506616257123,-56.42454501841259,0.378,0.39126215500945194,1.16,mixed,both_beneficial,false,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,LJD01-3-MD-7,38,1.0173913043478262,0.03508506616257123,-53.726450952016386,0.396,0.40989368620037825,6.581,mixed,both_beneficial,false,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,LJD01-3-SD-6,42,1.0173913043478262,0.03508506616257123,-18.3322755753076,0.729,0.7545770132325144,1.143,mixed,both_beneficial,false,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,LJD01-3-SD-7,43,1.0173913043478262,0.03508506616257123,-7.877348795119152,0.873,0.9036292627599247,4.868,mixed,both_beneficial,false,marginal,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,MAH01-1-SDm-18,90,1.4907651715039576,1.2223807965692242,-3.981159487972817,0.204,0.4533656825001217,1.53,mixed,both_beneficial,false,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,MAH01-1-LDm-18,106,1.7392638036809813,2.025038578794835,-2.9352544133729794,0.197,0.5959326000225825,1.1769999999999998,mixed,both_beneficial,false,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRCy,FoRCy_Mastersheet_others.csv,SC_St_30,318,1.4142135623730951,1.0,-2.333264407728091,0.44546,0.8909200000000003,1.4399999999999997,mixed,both_beneficial,false,marginal,validated_proxy_row,"FoRCy uses normalized maximum footing moment and contact-area proxy lambda=sqrt(1/A_c/A); measured displacement gate is max(rotation/0.01 rad, sliding/0.1%, settlement/0.1%).",base
FoRCy,FoRCy_Mastersheet_others.csv,SC_St_60,324,1.0954451152294213,0.20000000048,-5.666273793532811,0.59658,0.7158960002863586,1.66,mixed,both_beneficial,false,robust,validated_proxy_row,"FoRCy uses normalized maximum footing moment and contact-area proxy lambda=sqrt(1/A_c/A); measured displacement gate is max(rotation/0.01 rad, sliding/0.1%, settlement/0.1%).",base
FoRCy,FoRCy_Mastersheet_others.csv,TRISEE_HD_III,436,1.2309149097933274,0.5151515151515151,-2.621934675871768,0.58,0.8787878787878789,2.0999999999999996,mixed,both_beneficial,false,marginal,validated_proxy_row,"FoRCy uses normalized maximum footing moment and contact-area proxy lambda=sqrt(1/A_c/A); measured displacement gate is max(rotation/0.01 rad, sliding/0.1%, settlement/0.1%).",base
