feature,direction,threshold,false_safe_caught,true_safe_flagged,false_safe_recall,true_safe_penalty,rule_score
measured_displacement_severity,>=,1.0896000000000006,13,0,1.0,0.0,1.0
measured_displacement_severity,>=,0.8405999999999999,13,4,1.0,0.13793103448275862,0.9310344827586207
measured_displacement_severity,>=,0.4925,13,8,1.0,0.27586206896551724,0.8620689655172413
R_delta_total_predicted,>=,0.3698408279773158,13,12,1.0,0.41379310344827586,0.7931034482758621
map_margin,<=,0.9956841199056113,13,12,1.0,0.41379310344827586,0.7931034482758621
measured_displacement_severity,>=,0.29600000000000015,13,12,1.0,0.41379310344827586,0.7931034482758621
n_s_proxy,>=,-56.53209208589345,13,16,1.0,0.5517241379310345,0.7241379310344828
measured_displacement_severity,>=,0.21369999999999997,13,16,1.0,0.5517241379310345,0.7241379310344828
R_delta_total_predicted,>=,0.31621848771266553,13,16,1.0,0.5517241379310345,0.7241379310344828
map_margin,<=,1.1513498920594458,13,16,1.0,0.5517241379310345,0.7241379310344828
measured_displacement_severity,>=,1.2826000000000004,9,0,0.6923076923076923,0.0,0.6923076923076923
map_margin,<=,0.8414568439342678,11,10,0.8461538461538461,0.3448275862068966,0.6737400530503979
R_delta_total_predicted,>=,0.43162968435024995,11,10,0.8461538461538461,0.3448275862068966,0.6737400530503979
map_margin,<=,1.4518536631990153,13,20,1.0,0.6896551724137931,0.6551724137931034
R_delta_total_predicted,>=,0.2341362419659736,13,20,1.0,0.6896551724137931,0.6551724137931034
measured_displacement_severity,>=,0.13560000000000003,13,20,1.0,0.6896551724137931,0.6551724137931034
n_s_proxy,>=,-72.38175566619779,13,20,1.0,0.6896551724137931,0.6551724137931034
lambda_proxy,<=,1.6647142140278748,12,17,0.9230769230769231,0.5862068965517241,0.629973474801061
lambda_proxy,<=,2.1320071635561044,13,24,1.0,0.8275862068965517,0.5862068965517242
R_delta_total_predicted,>=,0.13901192438563328,13,24,1.0,0.8275862068965517,0.5862068965517242
map_margin,<=,1.973217753574492,13,24,1.0,0.8275862068965517,0.5862068965517242
n_s_proxy,>=,-113.33052113515458,13,24,1.0,0.8275862068965517,0.5862068965517242
lambda_proxy,<=,2.46320071635561,13,24,1.0,0.8275862068965517,0.5862068965517242
measured_displacement_severity,>=,0.0784999999999999,13,24,1.0,0.8275862068965517,0.5862068965517242
R_delta_total_predicted,>=,0.5398096937618149,9,8,0.6923076923076923,0.27586206896551724,0.5543766578249336
map_margin,<=,0.6165447288210487,9,8,0.6923076923076923,0.27586206896551724,0.5543766578249336
R_delta_total_predicted,>=,0.5990243168687787,8,5,0.6153846153846154,0.1724137931034483,0.5291777188328912
map_margin,<=,0.5124588054574799,8,5,0.6153846153846154,0.1724137931034483,0.5291777188328912
n_s_proxy,>=,-39.93231232971815,10,15,0.7692307692307693,0.5172413793103449,0.5106100795755968
lambda_proxy,>=,1.0173913043478262,13,29,1.0,1.0,0.5
lambda_proxy,>=,1.0173913043478262,13,29,1.0,1.0,0.5
lambda_proxy,>=,1.0173913043478262,13,29,1.0,1.0,0.5
lambda_proxy,>=,1.0173913043478262,13,29,1.0,1.0,0.5
lambda_proxy,>=,1.0173913043478262,13,29,1.0,1.0,0.5
n_s_proxy,<=,-2.3865637878845347,12,25,0.9230769230769231,0.8620689655172413,0.49204244031830247
n_s_proxy,<=,-2.878157136944477,11,22,0.8461538461538461,0.7586206896551724,0.46684350132625996
n_s_proxy,<=,-3.4960967134935936,10,19,0.7692307692307693,0.6551724137931034,0.44164456233421756
n_s_proxy,<=,-5.158993681576874,9,16,0.6923076923076923,0.5517241379310345,0.41644562334217505
lambda_proxy,<=,1.1046968930984202,9,16,0.6923076923076923,0.5517241379310345,0.41644562334217505
R_delta_total_predicted,<=,0.9023583364839324,11,26,0.8461538461538461,0.896551724137931,0.3978779840848806
map_margin,>=,0.10275256347605544,11,26,0.8461538461538461,0.896551724137931,0.3978779840848806
n_s_proxy,>=,-23.07564338729948,8,13,0.6153846153846154,0.4482758620689655,0.39124668435013266
measured_displacement_severity,>=,2.0559999999999996,5,0,0.38461538461538464,0.0,0.38461538461538464
lambda_proxy,<=,1.0173913043478262,8,16,0.6153846153846154,0.5517241379310345,0.3395225464190982
lambda_proxy,<=,1.0173913043478262,8,16,0.6153846153846154,0.5517241379310345,0.3395225464190982
lambda_proxy,<=,1.0173913043478262,8,16,0.6153846153846154,0.5517241379310345,0.3395225464190982
lambda_proxy,<=,1.0173913043478262,8,16,0.6153846153846154,0.5517241379310345,0.3395225464190982
lambda_proxy,<=,1.0173913043478262,8,16,0.6153846153846154,0.5517241379310345,0.3395225464190982
R_delta_total_predicted,>=,0.7474116105860117,5,4,0.38461538461538464,0.13793103448275862,0.31564986737400536
map_margin,<=,0.2913266846576886,5,4,0.38461538461538464,0.13793103448275862,0.31564986737400536
map_margin,>=,0.2913266846576886,8,25,0.6153846153846154,0.8620689655172413,0.18435013262599476
R_delta_total_predicted,<=,0.7474116105860117,8,25,0.6153846153846154,0.8620689655172413,0.18435013262599476
measured_displacement_severity,<=,2.0559999999999996,8,29,0.6153846153846154,1.0,0.11538461538461542
n_s_proxy,<=,-23.07564338729948,5,16,0.38461538461538464,0.5517241379310345,0.1087533156498674
R_delta_total_predicted,>=,0.9023583364839324,2,3,0.15384615384615385,0.10344827586206896,0.10212201591511938
map_margin,<=,0.10275256347605544,2,3,0.15384615384615385,0.10344827586206896,0.10212201591511938
n_s_proxy,>=,-5.158993681576874,4,13,0.3076923076923077,0.4482758620689655,0.08355437665782495
lambda_proxy,>=,1.1046968930984202,4,13,0.3076923076923077,0.4482758620689655,0.08355437665782495
n_s_proxy,>=,-3.4960967134935936,3,10,0.23076923076923078,0.3448275862068966,0.058355437665782495
n_s_proxy,>=,-2.878157136944477,2,7,0.15384615384615385,0.2413793103448276,0.033156498673740056
n_s_proxy,>=,-2.3865637878845347,1,4,0.07692307692307693,0.13793103448275862,0.007957559681697618
n_s_proxy,<=,-39.93231232971815,3,14,0.23076923076923078,0.4827586206896552,-0.010610079575596815
map_margin,>=,0.5124588054574799,5,24,0.38461538461538464,0.8275862068965517,-0.02917771883289122
R_delta_total_predicted,<=,0.5990243168687787,5,24,0.38461538461538464,0.8275862068965517,-0.02917771883289122
R_delta_total_predicted,<=,0.5398096937618149,4,21,0.3076923076923077,0.7241379310344828,-0.05437665782493367
map_margin,>=,0.6165447288210487,4,21,0.3076923076923077,0.7241379310344828,-0.05437665782493367
measured_displacement_severity,<=,0.0784999999999999,0,5,0.0,0.1724137931034483,-0.08620689655172414
lambda_proxy,>=,2.46320071635561,0,5,0.0,0.1724137931034483,-0.08620689655172414
