dataset,study_group,test_id,event_no,t0,lambda_hat,n_s_hat,PGA_B,PGV_B,Ia_B,L,B,D,h_cd,observed_class,solver_lambda,solver_RV,solver_Rdelta_total,solver_rotation_ratio,solver_energy_proxy,solver_class,solver_status
FoRDy,Performance of Shallow Foundations,SSG03-1-SHW-3,1,0.06,2.5099800796022267,0.0,0.128,9.2,0.158,2.8,0.65,0.7,1.0,both_beneficial,4.110960958218899,1.0,16.900000000000052,4.78609378187523,4.841067624398575,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-SHW-4,2,0.06,2.5099800796022267,0.0,0.49,38.0,3.413,2.8,0.65,0.7,1.0,mixed,4.110960958218899,1.0,16.900000000000052,4.78609378187523,76.5460930420359,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-SHW-5,3,0.06,2.5099800796022267,0.0,0.983,56.3,8.032,2.8,0.65,0.7,1.0,mixed,4.110960958218899,1.0,16.900000000000052,4.78609378187523,227.51250121461268,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-DSW-3,4,0.05,3.0,0.0,0.128,9.2,0.158,2.8,0.65,0.7,1.0,both_beneficial,5.000000000000012,1.0,25.000000000000124,6.153846153846173,5.888000000000014,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-DSW-4,5,0.05,3.0,0.0,0.49,38.0,3.413,2.8,0.65,0.7,1.0,mixed,5.000000000000012,1.0,25.000000000000124,6.153846153846173,93.10000000000024,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-DSW-5,6,0.05,3.0,0.0,0.983,56.3,8.032,2.8,0.65,0.7,1.0,mixed,5.000000000000012,1.0,25.000000000000124,6.153846153846173,276.71450000000067,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-SHW-3,7,0.06,1.449137674618944,0.0,0.125,10.2,0.19,2.8,0.65,0.0,1.0,both_beneficial,2.073644135332772,1.0,4.299999999999999,1.6517602082042644,2.643896272549284,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-SHW-4,8,0.06,1.449137674618944,0.0,0.599,33.1,2.854,2.8,0.65,0.0,1.0,mixed,2.073644135332772,1.0,4.299999999999999,1.6517602082042644,41.113934906829336,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-DSW-3,9,0.05,1.7320508075688772,0.0,0.125,10.4,0.2,2.8,0.65,0.0,1.0,both_beneficial,2.645751311064592,1.0,7.000000000000008,2.5319250939455262,3.43947670438397,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-DSW-4,10,0.05,1.7320508075688772,0.0,0.528,33.2,3.044,2.8,0.65,0.0,1.0,mixed,2.645751311064592,1.0,7.000000000000008,2.5319250939455262,46.37896218243788,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-DSW-5,11,0.05,1.7320508075688772,0.0,0.722,47.9,6.528,2.8,0.65,0.0,1.0,mixed,2.645751311064592,1.0,7.000000000000008,2.5319250939455262,91.50013419159563,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,nan,PWRI_S-1-P-2,12,0.003,2.449489742783178,0.0,0.6,17.6,7.596,0.5,0.5,0.0,0.586,mixed,6.684410780480779,1.0,44.68134748220766,11.368821560961559,70.58737784187703,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,nan,PWRI_S-2-P-1,13,0.003,2.949576240750525,0.0,0.711,71.5,5.705,0.5,0.5,0.05,0.586,mixed,8.0,1.0,64.0,14.0,406.692,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,nan,PWRI_S-4-P-2,15,0.003,2.5495097567963922,0.0,0.557,57.7,3.75,0.5,0.5,0.01,0.586,mixed,7.003533553173612,1.0,49.049482230428595,12.007067106347224,225.08586451209143,both_detrimental,openseespy_3d_static_period_shift_proxy
