dataset,source_file,test_id,event_no,lambda_proxy,eta_proxy,n_s_proxy,R_V_proxy,R_delta_total_predicted,measured_displacement_severity,observed_class,predicted_class,correct,robust_marginal,status,notes,sensitivity_label
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-SHW-3,1,8.916666666666668,78.50694444444447,-0.31863802416784315,0.498,39.59445833333335,0.492,both_beneficial,mixed,false,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-SHW-4,2,8.916666666666668,78.50694444444447,-0.18853034442201036,0.662,52.63359722222224,3.028,mixed,mixed,true,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-SHW-5,3,8.916666666666668,78.50694444444447,-0.1254326354127915,0.76,60.4252777777778,6.101,mixed,mixed,true,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-DSW-3,4,11.040000000000001,120.88160000000002,-0.203104420124043,0.614,74.83530240000002,0.575,both_beneficial,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-DSW-4,5,11.040000000000001,120.88160000000002,-0.09395974545098275,0.798,97.26151680000002,2.361,mixed,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-DSW-5,6,11.040000000000001,120.88160000000002,-0.07608566794319227,0.833,101.52737280000001,4.952,mixed,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG04-1-SHW-3,7,11.266666666666667,125.9377777777778,-0.45033539992072524,0.336,42.65109333333334,0.826,both_beneficial,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG04-1-SHW-4,8,11.266666666666667,125.9377777777778,-0.2812804375695396,0.506,64.23051555555557,3.659,mixed,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG04-1-DSW-3,9,12.719999999999999,160.79839999999996,-0.33738206592966835,0.424,68.60252159999997,0.912,both_beneficial,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG04-1-DSW-4,10,12.719999999999999,160.79839999999996,-0.2393881264831133,0.544,88.01832959999999,2.534,mixed,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base
