dataset,source_file,test_id,event_no,lambda_proxy,eta_proxy,n_s_proxy,R_V_proxy,R_delta_total_predicted,measured_displacement_severity,observed_class,predicted_class,correct,robust_marginal,status,notes,sensitivity_label,map_margin,log_lambda,log_RV,log_Rdelta_pred,failure_mode,release_by_map,false_safe
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-SHW-3,1,8.916666666666668,78.50694444444447,-0.3186380241678431,0.498,39.59445833333335,0.492,both_beneficial,mixed,False,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,0.6971552019574841,2.187922184673906,-0.6971552019574841,3.678689167390328,false_conservative_mixed,False,False
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-SHW-4,2,8.916666666666668,78.50694444444447,-0.1885303444220103,0.662,52.63359722222224,3.028,mixed,mixed,True,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,0.4124897230451288,2.187922184673906,-0.4124897230451288,3.963354646302683,correct_robust,False,False
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-SHW-5,3,8.916666666666668,78.50694444444447,-0.1254326354127915,0.76,60.4252777777778,6.101,mixed,mixed,True,robust,validated_proxy_row,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,0.2744368457017603,2.187922184673906,-0.2744368457017603,4.101407523646052,correct_robust,False,False
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-DSW-3,4,11.04,120.88160000000002,-0.203104420124043,0.614,74.83530240000002,0.575,both_beneficial,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,0.4877603508349946,2.401525040848949,-0.4877603508349946,4.315289730862904,false_conservative_mixed,False,False
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-DSW-4,5,11.04,120.88160000000002,-0.0939597454509827,0.798,97.26151680000002,2.361,mixed,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,0.22564668153232822,2.401525040848949,-0.22564668153232822,4.57740340016557,correct_marginal,False,False
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG03-1-DSW-5,6,11.04,120.88160000000002,-0.0760856679431922,0.833,101.5273728,4.952,mixed,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,0.1827216368152944,2.401525040848949,-0.1827216368152944,4.620328444882604,correct_marginal,False,False
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG04-1-SHW-3,7,11.266666666666667,125.9377777777778,-0.4503353999207252,0.336,42.65109333333334,0.826,both_beneficial,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,1.0906441190189327,2.4218485138208634,-1.0906441190189327,3.753052908622794,false_conservative_mixed,False,False
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG04-1-SHW-4,8,11.266666666666667,125.9377777777778,-0.2812804375695396,0.506,64.23051555555557,3.659,mixed,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,0.6812186096946715,2.4218485138208634,-0.6812186096946715,4.162478417947056,correct_marginal,False,False
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG04-1-DSW-3,9,12.72,160.79839999999996,-0.3373820659296683,0.424,68.60252159999997,0.912,both_beneficial,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,0.8580218237501793,2.543175557911976,-0.8580218237501793,4.228329292073773,false_conservative_mixed,False,False
FoRDy,FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,SSG04-1-DSW-4,10,12.72,160.79839999999996,-0.2393881264831133,0.544,88.01832959999999,2.534,mixed,mixed,,invalid,insufficient_or_out_of_gate,"FoRDy uses T1/T0 period-lengthening and normalized maximum footing moment; measured displacement gate is max(pkDR/1.0%, pkRot/0.01 rad, abs(resSet)/1.0%).",base,0.6088060321261943,2.543175557911976,-0.6088060321261943,4.477545083697757,correct_marginal,False,False
