row_id,Event No,Event Id,Researcher,Test,Struct,Nscale,Visc,Water,Mat L1,H L1,Dr L1,Mat L2,H L2,Dr L2,Mat L3,H L3,Dr_L3,Mat_L4,H_L4,Dr_L4,Curvedsurf,W,L,T,H,H_Cm,H_Cd,M_Struct,M_Deck,M_Col,M_Foot,Embed,Q,T_Fb,Modification,Motion,Amp,IF,RPM,PBA,PBV,CAV5,CAVstd,Ia_s,SIR,cCAV5,cCAVstd,cIa,PGA_s 1,PGA_s 2,PGA_s 3,PGA_s 4,Acc No,PGV_s,CAV5_s,CAVstd_s,Ia_s_2,SIR_s,cCAV5_s,cCAVstd_s,cIa_s,Set,cSet,Rot,cRot,References,Project url,BMA File,SMA File,SMA Sensor,DOI,Container,ESN,Comments,PGA_surface_max,surface_to_base_pga_ratio,apparent_acceleration_benefit,high_cumulative_settlement,high_cumulative_rotation,observed_settlement_rotation_penalty,observed_false_safe_if_acceleration_only,baseline_always_flag,baseline_intensity_only,baseline_structure_only,risk_score,risk_ge_q_0.05,risk_ge_q_0.10,risk_ge_q_0.15,risk_ge_q_0.20,risk_ge_q_0.25,risk_ge_q_0.30,risk_ge_q_0.35,risk_ge_q_0.40,risk_ge_q_0.45,risk_ge_q_0.50,risk_ge_q_0.55,risk_ge_q_0.60,risk_ge_q_0.65,risk_ge_q_0.70,risk_ge_q_0.75,risk_ge_q_0.80,risk_ge_q_0.85,risk_ge_q_0.90,risk_ge_q_0.95,proposed_pre_response_guardrail
,1,T6-30-01-A,SHD01,T6-30,A,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,6.0,9.0,0.7,6.0,2.1,3.9,334414.0,183013.0,,151401.0,0.7,80.0,0.21,none,Step Wave,9.0,4000,76.4,0.15,10.77,0.03,0.02,0.02,0.04,0.03,0.02,0.02,,0.11,0.13,,2.0,20.67,0.1,0.08,0.09,0.1,0.1,0.08,0.09,2.5,2.5,0.00057,1.00057,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-01-BMA.dat,T6-30-01-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,SHD01 experienced saturation issues with draining before testing,0.13,0.8666666666666667,True,False,True,True,True,True,False,False,-2.323689316468015,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,2,T6-30-01-B,SHD01,T6-30,B,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,12.0,18.0,0.7,6.0,2.1,4.1,1321018.0,715413.0,,605605.0,0.7,80.0,0.26,none,Step Wave,9.0,4000,76.4,0.15,10.77,0.03,0.02,0.02,0.04,0.03,0.02,0.02,,0.11,0.13,,2.0,20.67,0.1,0.08,0.09,0.1,0.1,0.08,0.09,2.2,2.2,-0.00045,0.99955,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-01-BMA.dat,T6-30-01-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,SHD01 experienced saturation issues with draining before testing,0.13,0.8666666666666667,True,False,True,True,True,True,False,False,-2.282968225982158,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,3,T6-30-01-C,SHD01,T6-30,C,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,6.0,9.0,0.7,10.2,4.2,9.0,550701.0,399300.0,,151401.0,0.7,130.0,0.33,none,Step Wave,9.0,4000,76.4,0.15,10.77,0.03,0.02,0.02,0.04,0.03,0.02,0.02,,0.11,0.13,,2.0,20.67,0.1,0.08,0.09,0.1,0.1,0.08,0.09,0.6,0.6,0.00045,1.00045,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-01-BMA.dat,T6-30-01-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,SHD01 experienced saturation issues with draining before testing,0.13,0.8666666666666667,True,False,True,True,True,True,False,False,-1.8138954829542409,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
,5,T6-30-02-A,SHD01,T6-30,A,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,6.0,9.0,0.7,6.0,2.1,3.9,334414.0,183013.0,,151401.0,0.7,80.0,0.21,none,Small Port Island,0.35,2750,76.9,0.05,5.73,0.06,0.01,0.02,0.0,0.09,0.03,0.03,0.09,0.08,0.1,,2.0,16.31,0.27,0.14,0.15,0.02,0.37,0.21,0.24,2.3,4.8,-0.00042,0.99958,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-02-BMA.dat,T6-30-02-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,SHD01 experienced saturation issues with draining before testing,0.1,2.0,False,False,True,True,False,True,False,False,-3.1443244682651756,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,6,T6-30-02-B,SHD01,T6-30,B,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,12.0,18.0,0.7,6.0,2.1,4.1,1321018.0,715413.0,,605605.0,0.7,80.0,0.26,none,Small Port Island,0.35,2750,76.9,0.05,5.73,0.06,0.01,0.02,0.0,0.09,0.03,0.03,0.09,0.08,0.1,,2.0,16.31,0.27,0.14,0.15,0.02,0.37,0.21,0.24,3.0,5.3,-0.00071,0.99929,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-02-BMA.dat,T6-30-02-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,SHD01 experienced saturation issues with draining before testing,0.1,2.0,False,False,True,True,False,True,False,False,-3.103603377779319,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,7,T6-30-02-C,SHD01,T6-30,C,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,6.0,9.0,0.7,10.2,4.2,9.0,550701.0,399300.0,,151401.0,0.7,130.0,0.33,none,Small Port Island,0.35,2750,76.9,0.05,5.73,0.06,0.01,0.02,0.0,0.09,0.03,0.03,0.09,0.08,0.1,,2.0,16.31,0.27,0.14,0.15,0.02,0.37,0.21,0.24,3.8,4.4,0.00019,1.00019,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-02-BMA.dat,T6-30-02-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,SHD01 experienced saturation issues with draining before testing,0.1,2.0,False,False,True,True,False,True,False,False,-2.634530634751402,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,9,T6-30-03-A,SHD01,T6-30,A,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,6.0,9.0,0.7,6.0,2.1,3.9,334414.0,183013.0,,151401.0,0.7,80.0,0.21,none,Moderate Port Island,1.7,2750,75.9,0.19,21.45,0.35,0.27,0.33,0.05,0.44,0.3,0.36,0.26,0.27,0.28,,2.0,47.96,0.99,0.77,1.41,0.18,1.36,0.98,1.65,80.0,84.8,0.00388,1.00388,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-03-BMA.dat,T6-30-03-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,SHD01 experienced saturation issues with draining before testing,0.28,1.473684210526316,False,False,True,True,False,True,False,False,-1.2849078217307826,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,10,T6-30-03-B,SHD01,T6-30,B,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,12.0,18.0,0.7,6.0,2.1,4.1,1321018.0,715413.0,,605605.0,0.7,80.0,0.26,none,Moderate Port Island,1.7,2750,75.9,0.19,21.45,0.35,0.27,0.33,0.05,0.44,0.3,0.36,0.26,0.27,0.28,,2.0,47.96,0.99,0.77,1.41,0.18,1.36,0.98,1.65,95.4,100.6,0.00306,1.00306,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-03-BMA.dat,T6-30-03-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,SHD01 experienced saturation issues with draining before testing,0.28,1.473684210526316,False,False,True,True,False,True,False,False,-1.244186731244926,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True
,11,T6-30-03-C,SHD01,T6-30,C,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,6.0,9.0,0.7,10.2,4.2,9.0,550701.0,399300.0,,151401.0,0.7,130.0,0.33,none,Moderate Port Island,1.7,2750,75.9,0.19,21.45,0.35,0.27,0.33,0.05,0.44,0.3,0.36,0.26,0.27,0.28,,2.0,47.96,0.99,0.77,1.41,0.18,1.36,0.98,1.65,104.6,109.0,-0.00357,0.99643,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-03-BMA.dat,T6-30-03-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,SHD01 experienced saturation issues with draining before testing,0.28,1.473684210526316,False,False,True,True,False,True,False,False,-0.7751139882170095,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
,13,T6-30-04-A,SHD01,T6-30,A,55,20,1.1,Nevada Sand,18.0,0.86,Nevada Sand,6.0,0.4,Monterey Sand,2.0,0.86,none,none,none,no,6.0,9.0,0.7,6.0,2.1,3.9,334414.0,183013.0,,151401.0,0.7,80.0,0.21,none,Large Port Island,5.1,2750,75.9,0.5,52.45,1.37,1.23,3.93,0.57,1.81,1.53,4.29,0.46,0.57,0.55,,2.0,98.19,1.95,1.58,4.56,0.6,3.31,2.56,6.21,592.9,677.7,0.02091,0.02494,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-04-BMA.dat,T6-30-04-SMA.dat,"A18, A29, A34",,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",4,SHD01 experienced saturation issues with draining before testing,0.57,1.14,False,True,True,True,False,True,True,False,4.69723779005414,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True
