model,observed_class,predicted_class,count
always_mixed,both_beneficial,mixed,50
always_mixed,both_detrimental,mixed,67
always_mixed,mixed,mixed,77
flexibility_only,both_beneficial,both_beneficial,4
flexibility_only,both_beneficial,both_detrimental,16
flexibility_only,both_beneficial,mixed,30
flexibility_only,both_detrimental,both_beneficial,0
flexibility_only,both_detrimental,both_detrimental,4
flexibility_only,both_detrimental,mixed,63
flexibility_only,mixed,both_beneficial,10
flexibility_only,mixed,both_detrimental,8
flexibility_only,mixed,mixed,59
majority_class,both_beneficial,both_detrimental,6
majority_class,both_beneficial,mixed,44
majority_class,both_detrimental,both_detrimental,7
majority_class,both_detrimental,mixed,60
majority_class,mixed,both_detrimental,19
majority_class,mixed,mixed,58
solver_backed_conservative,both_beneficial,both_beneficial,32
solver_backed_conservative,both_beneficial,mixed,18
solver_backed_conservative,both_detrimental,both_beneficial,0
solver_backed_conservative,both_detrimental,mixed,67
solver_backed_conservative,mixed,both_beneficial,10
solver_backed_conservative,mixed,mixed,67
solver_raw_class,both_beneficial,both_detrimental,9
solver_raw_class,both_beneficial,mixed,41
solver_raw_class,both_detrimental,both_detrimental,25
solver_raw_class,both_detrimental,mixed,42
solver_raw_class,mixed,both_detrimental,36
solver_raw_class,mixed,mixed,41
spectral_slope_only,both_beneficial,both_beneficial,36
spectral_slope_only,both_beneficial,mixed,14
spectral_slope_only,both_detrimental,both_beneficial,34
spectral_slope_only,both_detrimental,mixed,33
spectral_slope_only,mixed,both_beneficial,40
spectral_slope_only,mixed,mixed,37
