model,fold,test_id,event_no,solver_lambda,solver_RV,solver_Rdelta_total,solver_rotation_ratio,solver_energy_proxy,observed_class,predicted_class,correct
solver_backed_conservative,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-9,50,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,6.996214450115137,mixed,both_beneficial,false
solver_backed_conservative,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-13,53,1.0878890452674759,0.9192113886523537,1.0878890452674757,0.22682853597754943,9.566461108464075,mixed,both_beneficial,false
solver_backed_conservative,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-20,60,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,9.00837402824186,mixed,both_beneficial,false
solver_backed_conservative,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-9,67,,,,,,mixed,both_beneficial,false
solver_backed_conservative,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-5,79,1.1606801396454376,0.9093021711379137,1.2249922318157653,0.25766725096295395,5.7337598898484625,mixed,both_beneficial,false
solver_backed_conservative,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-18,90,1.1606801396454376,0.9093021711379138,1.2249922318157653,0.25766725096295395,0.027856323351490502,mixed,both_beneficial,false
solver_backed_conservative,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-20,91,1.1606801396454376,0.9093021711379137,1.2249922318157653,0.25766725096295395,8.368735942871533,mixed,both_beneficial,false
solver_backed_conservative,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-LDm-5,95,1.2430740431175944,0.9870641832029644,1.5252442246841649,0.3034628226234236,6.140785773000917,mixed,both_beneficial,false
solver_backed_conservative,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-LDm-18,106,1.2430740431175944,0.9870641832029644,1.5252442246841649,0.3034628226234236,0.029833777034822265,mixed,both_beneficial,false
solver_backed_conservative,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-LDm-20,107,1.2430740431175944,0.9870641832029644,1.5252442246841649,0.3034628226234236,8.96281246568648,mixed,both_beneficial,false
