study_group,test_id,event_no
Performance of Shallow Foundations,SSG03-1-SHW-3,1
Performance of Shallow Foundations,SSG03-1-SHW-4,2
Performance of Shallow Foundations,SSG03-1-SHW-5,3
Performance of Shallow Foundations,SSG03-1-DSW-3,4
Performance of Shallow Foundations,SSG03-1-DSW-4,5
Performance of Shallow Foundations,SSG03-1-DSW-5,6
Performance of Shallow Foundations,SSG04-1-SHW-3,7
Performance of Shallow Foundations,SSG04-1-SHW-4,8
Performance of Shallow Foundations,SSG04-1-DSW-3,9
Performance of Shallow Foundations,SSG04-1-DSW-4,10
Performance of Shallow Foundations,SSG04-1-DSW-5,11
nan,PWRI_S-1-P-2,12
nan,PWRI_S-2-P-1,13
nan,PWRI_S-4-P-2,15
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-1,16
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-2,17
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-4,19
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-5,20
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-6,21
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-7,22
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-8,23
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-9,24
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-1,25
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-2,26
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-5,29
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-6,30
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-8,32
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-9,33
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-3,34
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-4,35
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-5,36
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-6,37
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-7,38
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-3,39
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-4,40
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-5,41
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-6,42
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-7,43
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-2,44
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-3,45
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-4,46
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-5,47
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-7,48
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-8,49
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-9,50
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-11,51
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-12,52
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-13,53
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-14,54
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-15,55
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-16,56
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-17,57
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-18,58
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-19,59
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-20,60
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-2,61
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-3,62
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-4,63
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-5,64
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-7,65
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-8,66
