source_id,system,height_storeys,HWR,foundation_soil,T_fixed_s,T_flexible_s,lambda,eta_from_lambda,source_table,extraction_note
E01,FCT,20,6,piled_Ee,1.203,1.461,1.214,0.475,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,6,piled_De,1.203,1.312,1.091,0.189,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,6,piled_Ce,1.203,1.273,1.058,0.120,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,6,comp_Ee,1.203,1.736,1.443,1.082,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,6,comp_De,1.203,1.387,1.153,0.329,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,6,comp_Ce,1.203,1.325,1.101,0.213,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,5,piled_Ee,1.165,1.456,1.250,0.562,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,5,piled_De,1.165,1.309,1.124,0.262,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,5,piled_Ce,1.165,1.277,1.096,0.202,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,5,comp_Ee,1.165,1.626,1.396,0.948,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,5,comp_De,1.165,1.376,1.181,0.395,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,5,comp_Ce,1.165,1.322,1.135,0.288,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,4,piled_Ee,1.128,1.411,1.251,0.565,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,4,piled_De,1.128,1.294,1.147,0.316,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,4,piled_Ce,1.128,1.238,1.098,0.205,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,4,comp_Ee,1.128,1.586,1.406,0.977,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,4,comp_De,1.128,1.355,1.201,0.443,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,20,4,comp_Ce,1.128,1.269,1.125,0.266,Table 5,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,6,piled_Ee,2.004,2.447,1.221,0.491,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,6,piled_De,2.004,2.167,1.081,0.169,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,6,piled_Ce,2.004,2.093,1.044,0.091,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,6,comp_Ee,2.004,2.767,1.381,0.906,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,6,comp_De,2.004,2.208,1.102,0.214,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,6,comp_Ce,2.004,2.105,1.050,0.103,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,5,piled_Ee,1.941,2.354,1.213,0.471,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,5,piled_De,1.941,2.158,1.112,0.236,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,5,piled_Ce,1.941,2.068,1.065,0.135,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,5,comp_Ee,1.941,2.742,1.413,0.996,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,5,comp_De,1.941,2.246,1.157,0.339,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,5,comp_Ce,1.941,2.115,1.090,0.187,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,4,piled_Ee,1.870,2.319,1.240,0.538,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,4,piled_De,1.870,2.070,1.107,0.225,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,4,piled_Ce,1.870,1.998,1.068,0.142,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,4,comp_Ee,1.870,2.588,1.384,0.915,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,4,comp_De,1.870,2.239,1.197,0.434,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,30,4,comp_Ce,1.870,2.059,1.101,0.212,Table 6,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,6,piled_Ee,2.663,3.814,1.432,1.051,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,6,piled_De,2.663,2.956,1.110,0.232,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,6,piled_Ce,2.663,2.795,1.050,0.102,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,6,comp_Ee,2.663,4.292,1.612,1.598,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,6,comp_De,2.663,3.056,1.148,0.317,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,6,comp_Ce,2.663,2.892,1.086,0.179,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,5,piled_Ee,2.626,3.628,1.382,0.909,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,5,piled_De,2.626,2.947,1.122,0.259,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,5,piled_Ce,2.626,2.803,1.067,0.139,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,5,comp_Ee,2.626,4.178,1.591,1.531,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,5,comp_De,2.626,3.011,1.147,0.315,Table 7,"period table extraction only; response ratios still need figure/table digitization"
E01,FCT,40,5,comp_Ce,2.626,2.902,1.105,0.221,Table 7,"period table extraction only; response ratios still need figure/table digitization"
